Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Canada,BOP6 - S - Memo item: Total services,World,2016,104494.0,Memo item: Total services,services,imports
China,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,158.0,Manufacturing services on physical inputs owned by others,services,imports
China,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,2019.0,Maintenance and repair services n.i.e.,services,imports
China,BOP6 - SC - Transport,World,2016,80580.0,Transport,services,imports
China,BOP6 - SD - Travel,World,2016,261129.0,Travel,services,imports
China,BOP6 - SOX1 - Other commercial services,World,2016,105336.0,Other commercial services,services,imports
China,BOP6 - S - Memo item: Total services,World,2016,452097.0,Memo item: Total services,services,imports
France,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,7846.0,Manufacturing services on physical inputs owned by others,services,imports
France,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,7373.0,Maintenance and repair services n.i.e.,services,imports
France,BOP6 - SC - Transport,World,2016,45679.0,Transport,services,imports
France,BOP6 - SD - Travel,World,2016,40375.0,Travel,services,imports
France,BOP6 - SOX1 - Other commercial services,World,2016,135508.0,Other commercial services,services,imports
France,BOP6 - S - Memo item: Total services,World,2016,236793.0,Memo item: Total services,services,imports
Germany,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,5287.0,Manufacturing services on physical inputs owned by others,services,imports
Germany,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,9553.0,Maintenance and repair services n.i.e.,services,imports
Germany,BOP6 - SC - Transport,World,2016,61824.0,Transport,services,imports
Germany,BOP6 - SD - Travel,World,2016,79790.0,Travel,services,imports
Germany,BOP6 - SOX1 - Other commercial services,World,2016,158820.0,Other commercial services,services,imports
Germany,BOP6 - S - Memo item: Total services,World,2016,316676.0,Memo item: Total services,services,imports
India,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,53.0,Manufacturing services on physical inputs owned by others,services,imports
India,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,321.0,Maintenance and repair services n.i.e.,services,imports
India,BOP6 - SC - Transport,World,2016,47952.0,Transport,services,imports
India,BOP6 - SD - Travel,World,2016,16377.0,Travel,services,imports
India,BOP6 - SOX1 - Other commercial services,World,2016,68146.0,Other commercial services,services,imports
India,BOP6 - S - Memo item: Total services,World,2016,133532.0,Memo item: Total services,services,imports
Indonesia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,764.0,Maintenance and repair services n.i.e.,services,imports
Indonesia,BOP6 - SC - Transport,World,2016,9116.0,Transport,services,imports
Indonesia,BOP6 - SD - Travel,World,2016,7566.0,Travel,services,imports
Indonesia,BOP6 - SOX1 - Other commercial services,World,2016,12913.0,Other commercial services,services,imports
Indonesia,BOP6 - S - Memo item: Total services,World,2016,30407.0,Memo item: Total services,services,imports
Iran,BOP6 - SC - Transport,World,2016,2939.0,Transport,services,imports
Iran,BOP6 - SD - Travel,World,2016,10233.0,Travel,services,imports
