Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
St. Vincent & Grens.,2.89,0,2.75,0,0.14,0,2.61,364I1136 Index,136D1364 Index
St. Lucia,2.81,0,2.28,0,0.53,0,1.75,362D1136 Index,136D1362 Index
Gambia,2.8,0,1.57,0,1.24,0,0.33,648D1136 Index,136D1648 Index
Belize,2.3,0,2.05,0,0.25,0,1.8,339D1136 Index,136D1339 Index
Greenland,2.25,0,2.25,0,0,0,2.25,326D1136 Index,136D1326 Index
North Korea,2.14,0,1.75,0,0.39,0,1.36,954D1136 Index,136D1954 Index
Grenada,1.63,0,1.61,0,0.02,0,1.59,328D1136 Index,136D1328 Index
Dominica,1.42,0,1.36,0,0.06,0,1.3,321D1136 Index,136D1321 Index
Guinea-Bissau,1.13,0,0,0,1.13,0,-1.12,654D1136 Index,136D1654 Index
St. Kitts And Nevis,0.71,0,0.65,0,0.06,0,0.58,361D1136 Index,136D1361 Index
Sao Tome & Principe,0.63,0,0.18,0,0.45,0,-0.27,716D1136 Index,136D1716 Index
Comoros,0.47,0,0.24,0,0.24,0,0,632D1136 Index,136D1632 Index
Tonga,0.41,0,0.41,0,0,0,0.41,866D1136 Index,136D1866 Index
Samoa,0.21,0,0.2,0,0,0,0.2,862D1136 Index,136D1862 Index
Netherlands Antilles,0,0,0,0,0,0,0,353D1136 Index,136D1353 Index
