Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Central African Rep.,7.91,0,7.74,0,0.17,0,7.57,626D1112 Index,112D1626 Index
Tajikistan,5.94,0,5.36,0,0.58,0,4.78,923D1112 Index,112D1923 Index
Suriname,4.91,0,3.8,0,1.12,0,2.68,366D1112 Index,112D1366 Index
Niger,4.3,0,4.05,0,0.25,0,3.79,692D1112 Index,112D1692 Index
Cape Verde,3.34,0,2.96,0,0.38,0,2.58,624D1112 Index,112D1624 Index
Comoros,1.83,0,1.44,0,0.39,0,1.05,632D1112 Index,112D1632 Index
Sao Tome & Principe,1.71,0,1.63,0,0.08,0,1.55,716D1112 Index,112D1716 Index
Samoa,0.35,0,0.34,0,0.01,0,0.33,862D1112 Index,112D1862 Index
Vanuatu,0.16,0,0.1,0,0.07,0,0.03,846D1112 Index,112D1846 Index
North Korea,0.15,0,0.13,0,0.03,0,0.1,954D1112 Index,112D1954 Index
Tonga,0.11,0,0.08,0,0.03,0,0.05,866D1112 Index,112D1866 Index
