Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Syria,53.65,0,48.4,0.01,5.25,0,43.15,463D1132 Index,132D1463 Index
Mongolia,53.38,0,51.75,0.01,1.62,0,50.13,948D1132 Index,132D1948 Index
Maldives,51.49,0,17.61,0,33.89,0.01,-16.28,556D1132 Index,132D1556 Index
Kyrgyzstan,48.79,0,30.34,0,18.45,0,11.88,917D1132 Index,132D1917 Index
Burundi,41.73,0,36.44,0.01,5.29,0,31.15,618D1132 Index,132D1618 Index
Zambia,41.61,0,36.76,0.01,4.85,0,31.9,754D1132 Index,132D1754 Index
Montenegro,41.57,0,37.58,0.01,3.99,0,33.59,943D1132 Index,132D1943 Index
Sierra Leone,40.48,0,35.83,0.01,4.66,0,31.17,724D1132 Index,132D1724 Index
Barbados,39.01,0,31.04,0.01,7.97,0,23.06,316D1132 Index,132D1316 Index
Nepal,38.14,0,19.3,0,18.84,0,0.46,558D1132 Index,132D1558 Index
Rwanda,38.05,0,34.8,0.01,3.25,0,31.55,714D1132 Index,132D1714 Index
Faeroe Islands,37.68,0,37.46,0.01,0.22,0,37.23,816D1132 Index,132D1816 Index
Comoros,33.04,0,27.47,0,5.58,0,21.89,632D1132 Index,132D1632 Index
St. Vincent & Grens.,31.55,0,28.16,0,3.39,0,24.78,364I1132 Index,132D1364 Index
Papua New Guinea,28.18,0,7.45,0,20.74,0,-13.29,853D1132 Index,132D1853 Index
Afghanistan,28.17,0,24.69,0,3.48,0,21.21,512D1132 Index,132D1512 Index
Gambia,25.13,0,20.28,0,4.84,0,15.44,648D1132 Index,132D1648 Index
Malawi,23.58,0,9.05,0,14.53,0,-5.48,676D1132 Index,132D1676 Index
Brunei Darussalam,22.74,0,21.76,0,0.98,0,20.79,516D1132 Index,132D1516 Index
Laos,21.91,0,2.62,0,19.29,0,-16.67,544D1132 Index,132D1544 Index
Somalia,20.06,0,18.39,0,1.67,0,16.73,726D1132 Index,132D1726 Index
Aruba,16.3,0,8.93,0,7.38,0,1.55,314D1132 Index,132D1314 Index
Guyana,15.98,0,3.65,0,12.32,0,-8.67,336D1132 Index,132D1336 Index
Cape Verde,15.73,0,15.45,0,0.27,0,15.18,624D1132 Index,132D1624 Index
St. Lucia,9.87,0,8.91,0,0.96,0,7.95,362D1132 Index,132D1362 Index
Guinea-Bissau,8.3,0,7.72,0,0.58,0,7.14,654D1132 Index,132D1654 Index
Vanuatu,8.19,0,7.98,0,0.21,0,7.78,846D1132 Index,132D1846 Index
Tajikistan,8,0,7.54,0,0.47,0,7.07,923D1132 Index,132D1923 Index
Greenland,6.48,0,6.1,0,0.37,0,5.73,326D1132 Index,132D1326 Index
Dominica,5.96,0,3.2,0,2.76,0,0.44,321D1132 Index,132D1321 Index
Grenada,2.9,0,2.08,0,0.82,0,1.26,328D1132 Index,132D1328 Index
Bermuda,2.7,0,0.34,0,2.36,0,-2.02,319D1132 Index,132D1319 Index
Belize,2.38,0,0.83,0,1.55,0,-0.73,339D1132 Index,132D1339 Index
Samoa,2.27,0,2.26,0,0.01,0,2.25,862D1132 Index,132D1862 Index
North Korea,1.85,0,1.15,0,0.7,0,0.45,954D1132 Index,132D1954 Index
Solomon Islands,1.25,0,0.6,0,0.66,0,-0.06,813D1132 Index,132D1813 Index
Sao Tome & Principe,1.23,0,1.07,0,0.16,0,0.9,716D1132 Index,132D1716 Index
St. Kitts And Nevis,0.89,0,0.8,0,0.09,0,0.71,361D1132 Index,132D1361 Index
Tonga,0.1,0,0.1,0,0,0,0.09,866D1132 Index,132D1866 Index
Netherlands Antilles,0,0,0,0,0,0,0,353D1132 Index,132D1353 Index
