Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
New Caledonia,27.87,0,20.5,0,7.37,0,13.13,839D1138 Index,138D1839 Index
Somalia,27.2,0,26.72,0,0.48,0,26.23,726D1138 Index,138D1726 Index
Rwanda,21.98,0,13.94,0,8.04,0,5.9,714D1138 Index,138D1714 Index
Niger,21.87,0,21.24,0,0.63,0,20.62,692D1138 Index,138D1692 Index
Maldives,21.12,0,15.08,0,6.03,0,9.05,556D1138 Index,138D1556 Index
Nepal,21.09,0,16.32,0,4.77,0,11.56,558D1138 Index,138D1558 Index
Mongolia,19.62,0,16.73,0,2.9,0,13.83,948D1138 Index,138D1948 Index
Peoples Democratic Republic of Yemen,19.62,0,15.77,0,3.85,0,11.92,474D1138 Index,138D1474 Index
Guinea-Bissau,19.08,0,18.68,0,0.4,0,18.28,654D1138 Index,138D1654 Index
Solomon Islands,18.28,0,2.25,0,16.03,0,-13.78,813D1138 Index,138D1813 Index
Brunei Darussalam,16.66,0,16.05,0,0.61,0,15.44,516D1138 Index,138D1516 Index
Bahamas,16.34,0,15.14,0,1.2,0,13.94,313D1138 Index,138D1313 Index
Tajikistan,16.24,0,15.31,0,0.93,0,14.38,923D1138 Index,138D1923 Index
Gambia,15.64,0,14.42,0,1.22,0,13.19,648D1138 Index,138D1648 Index
Belize,11.49,0,7.73,0,3.76,0,3.96,339D1138 Index,138D1339 Index
Kyrgyzstan,10.03,0,9.28,0,0.75,0,8.53,917D1138 Index,138D1917 Index
Central African Rep.,9.82,0,9.6,0,0.21,0,9.39,626D1138 Index,138D1626 Index
Burundi,9.12,0,9.07,0,0.04,0,9.03,618D1138 Index,138D1618 Index
Grenada,7.88,0,6.51,0,1.37,0,5.14,328D1138 Index,138D1328 Index
Afghanistan,7.71,0,4.29,0,3.42,0,0.87,512D1138 Index,138D1512 Index
St. Lucia,7.01,0,6.92,0,0.09,0,6.83,362D1138 Index,138D1362 Index
Sao Tome & Principe,6.78,0,1.11,0,5.67,0,-4.56,716D1138 Index,138D1716 Index
Fiji,5.64,0,2.27,0,3.37,0,-1.1,819D1138 Index,138D1819 Index
Dominica,3.87,0,1.89,0,1.98,0,-0.09,321D1138 Index,138D1321 Index
Comoros,3.73,0,3.04,0,0.7,0,2.34,632D1138 Index,138D1632 Index
Djibouti,3.35,0,2.38,0,0.96,0,1.42,611D1138 Index,138D1611 Index
St. Vincent & Grens.,2.81,0,2.11,0,0.7,0,1.42,364I1138 Index,138D1364 Index
St. Kitts And Nevis,1.6,0,1.5,0,0.1,0,1.41,361D1138 Index,138D1361 Index
North Korea,0.79,0,0.29,0,0.51,0,-0.22,954D1138 Index,138D1954 Index
Vanuatu,0.56,0,0.46,0,0.1,0,0.36,846D1138 Index,138D1846 Index
Tonga,0.22,0,0.15,0,0.08,0,0.07,866D1138 Index,138D1866 Index
Samoa,0.14,0,0.07,0,0.07,0,0.01,862D1138 Index,138D1862 Index
