Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Papua New Guinea,1.83,0,1.68,0,0.15,0,1.53,853D1146 Index,146D1853 Index
St. Kitts And Nevis,1.81,0,1.76,0,0.05,0,1.71,361D1146 Index,146D1361 Index
Belize,1.79,0,1.38,0,0.41,0,0.97,339D1146 Index,146D1339 Index
Tonga,0.87,0,0.87,0,0,0,0.87,866D1146 Index,146D1866 Index
Bermuda,0.86,0,0.64,0,0.23,0,0.41,319D1146 Index,146D1319 Index
Comoros,0.52,0,0.03,0,0.48,0,-0.45,632D1146 Index,146D1632 Index
Grenada,0.51,0,0.49,0,0.02,0,0.48,328D1146 Index,146D1328 Index
Somalia,0.47,0,0.38,0,0.08,0,0.3,726D1146 Index,146D1726 Index
Greenland,0.41,0,0.4,0,0.01,0,0.39,326D1146 Index,146D1326 Index
St. Lucia,0.24,0,0.22,0,0.02,0,0.19,362D1146 Index,146D1362 Index
Guinea-Bissau,0.2,0,0.2,0,0,0,0.2,654D1146 Index,146D1654 Index
Vanuatu,0.14,0,0.14,0,0,0,0.14,846D1146 Index,146D1846 Index
Dominica,0.06,0,0.06,0,0,0,0.06,321D1146 Index,146D1321 Index
Djibouti,0.03,0,0.02,0,0.01,0,0.02,611D1146 Index,146D1611 Index
Sao Tome & Principe,0.03,0,0.01,0,0.01,0,0,716D1146 Index,146D1716 Index
Samoa,0.02,0,0.02,0,0,0,0.02,862D1146 Index,146D1862 Index
Netherlands Antilles,0,0,0,0,0,0,0,353D1146 Index,146D1353 Index
